SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,player_name,player_id,season,minutes_last_7_days,minutes_last_28_days,acute_chronic_ratio,days_rest,is_back_to_back,back_to_back_count_month,injured_next_14_days
22021,203076,0022100002,2021-10-19,LAL vs. GSW,L,39,15,26,0.577,1,5,0.2,2,7,0.286,2,9,11,2,1,2,0,0,33,-2,1,Anthony Davis,203076,2021-22,,,,,0,,0
22021,203076,0022100025,2021-10-22,LAL vs. PHX,L,38,6,18,0.333,0,1,0.0,10,11,0.909,5,9,14,3,1,2,2,3,22,-6,1,Anthony Davis,203076,2021-22,,,,3.0,0,,0
22021,203076,0022100040,2021-10-24,LAL vs. MEM,W,34,8,15,0.533,1,3,0.333,5,7,0.714,3,5,8,2,0,4,3,1,22,-5,1,Anthony Davis,203076,2021-22,,,,2.0,0,,0
22021,203076,0022100053,2021-10-26,LAL @ SAS,W,42,15,31,0.484,0,4,0.0,5,6,0.833,7,10,17,4,0,4,2,2,35,3,1,Anthony Davis,203076,2021-22,,,,2.0,0,,0
22021,203076,0022100061,2021-10-27,LAL @ OKC,L,37,12,22,0.545,0,1,0.0,6,7,0.857,4,4,8,2,1,0,2,1,30,-7,1,Anthony Davis,203076,2021-22,,,,1.0,1,,0
22021,203076,0022100077,2021-10-29,LAL vs. CLE,W,31,7,14,0.5,1,2,0.5,0,0,0.0,2,7,9,3,1,3,2,3,15,11,1,Anthony Davis,203076,2021-22,,,,2.0,0,,0
22021,203076,0022100093,2021-10-31,LAL vs. HOU,W,33,7,17,0.412,0,1,0.0,2,2,1.0,6,7,13,2,1,1,3,3,16,6,1,Anthony Davis,203076,2021-22,254.0,,,2.0,0,,0
22021,203076,0022100107,2021-11-02,LAL vs. HOU,W,32,11,18,0.611,0,3,0.0,5,8,0.625,1,8,9,3,3,3,4,2,27,-1,1,Anthony Davis,203076,2021-22,247.0,,,2.0,0,,0
22021,203076,0022100123,2021-11-04,LAL vs. OKC,L,38,11,20,0.55,0,1,0.0,7,9,0.778,6,12,18,5,1,2,3,4,29,-14,1,Anthony Davis,203076,2021-22,247.0,,,2.0,0,,0
22021,203076,0022100138,2021-11-06,LAL @ POR,L,7,1,5,0.2,0,0,0.0,0,0,0.0,3,0,3,0,0,0,0,1,2,-11,1,Anthony Davis,203076,2021-22,220.0,,,2.0,0,,0
22021,203076,0022100154,2021-11-08,LAL vs. CHA,W,44,13,25,0.52,0,3,0.0,6,8,0.75,2,10,12,4,3,5,4,4,32,-1,1,Anthony Davis,203076,2021-22,222.0,,,2.0,0,,0
22021,203076,0022100170,2021-11-10,LAL vs. MIA,W,45,10,23,0.435,1,2,0.5,3,4,0.75,5,8,13,4,1,1,4,3,24,-4,1,Anthony Davis,203076,2021-22,230.0,,,2.0,0,,0
22021,203076,0022100184,2021-11-12,LAL vs. MIN,L,31,7,13,0.538,0,1,0.0,8,10,0.8,2,6,8,2,3,3,2,4,22,-16,1,Anthony Davis,203076,2021-22,230.0,,,2.0,0,,0
22021,203076,0022100192,2021-11-14,LAL vs. SAS,W,40,14,24,0.583,2,3,0.667,4,5,0.8,5,10,15,6,1,1,1,0,34,0,1,Anthony Davis,203076,2021-22,237.0,,,2.0,0,,0
22021,203076,0022100209,2021-11-15,LAL vs. CHI,L,28,6,9,0.667,0,0,0.0,8,9,0.889,1,5,6,1,1,0,4,1,20,-22,1,Anthony Davis,203076,2021-22,233.0,,,1.0,1,,0
22021,203076,0022100219,2021-11-17,LAL @ MIL,L,37,9,15,0.6,0,1,0.0,0,0,0.0,2,7,9,4,0,2,1,4,18,5,1,Anthony Davis,203076,2021-22,232.0,,,2.0,0,,0
22021,203076,0022100232,2021-11-19,LAL @ BOS,L,37,12,21,0.571,0,3,0.0,7,9,0.778,1,5,6,2,0,3,1,2,31,-14,1,Anthony Davis,203076,2021-22,262.0,,,2.0,0,,0
22021,203076,0022100249,2021-11-21,LAL @ DET,W,40,11,19,0.579,0,1,0.0,8,10,0.8,1,9,10,6,4,5,2,4,30,5,1,Anthony Davis,203076,2021-22,258.0,,,2.0,0,,0
22021,203076,0022100264,2021-11-23,LAL @ NYK,L,34,7,17,0.412,1,2,0.5,5,11,0.455,3,3,6,3,0,0,0,1,20,8,1,Anthony Davis,203076,2021-22,247.0,,,2.0,0,,0
22021,203076,0022100291,2021-11-26,LAL vs. SAC,L,49,9,22,0.409,0,5,0.0,5,8,0.625,1,7,8,4,3,4,2,5,23,-16,1,Anthony Davis,203076,2021-22,265.0,,,3.0,0,,0
22021,203076,0022100304,2021-11-28,LAL vs. DET,W,38,10,15,0.667,2,2,1.0,2,3,0.667,0,10,10,2,2,3,1,1,24,4,1,Anthony Davis,203076,2021-22,263.0,,,2.0,0,,0
22021,203076,0022100318,2021-11-30,LAL @ SAC,W,35,12,22,0.545,0,2,0.0,1,2,0.5,2,5,7,3,2,2,1,2,25,10,1,Anthony Davis,203076,2021-22,270.0,,,2.0,0,,0
22021,203076,0022100341,2021-12-03,LAL vs. LAC,L,36,10,15,0.667,0,2,0.0,7,11,0.636,5,5,10,4,0,1,2,2,27,-9,1,Anthony Davis,203076,2021-22,269.0,,,3.0,0,,0
22021,203076,0022100365,2021-12-07,LAL vs. BOS,W,35,7,13,0.538,0,0,0.0,3,4,0.75,4,12,16,3,2,2,3,3,17,17,1,Anthony Davis,203076,2021-22,267.0,,,4.0,0,,1
22021,203076,0022100380,2021-12-09,LAL @ MEM,L,38,9,18,0.5,1,4,0.25,3,4,0.75,1,7,8,1,1,1,2,1,22,-2,1,Anthony Davis,203076,2021-22,265.0,,,2.0,0,,1
